,Gender,Age,Level of Education,Frequency Grocery Shopping,Frequency Cooking,Type of Diet,Frequency Meat Consumption,"If you consume meat, Have you considered reducing your meat consumption?","If you consume meat, are you actively trying to reduce your meat consumption?",I know people around me who are flexivegetarian/ vegetarian/ vegan                           ,Are you concerned about climate change?,Meat consumption has a negative impact on climate change,"If you consume meat, do you try to eat meat with lower environmental impact? (e.g. eating chicken instead of cow).",Are you concerned about your eating habits and their impact on your health?,Meat consumption has a negative impact on your health,Are you concerned about animal welfare?,Meat is a fundamental part of a meal,"I enjoy eating meat (taste, texture)",It is hard to find meat free options in restaurants in Spain.                  ,I find more difficult cooking without meat (lack of options).,Cooking without meat is more expensive,Cooking without meat is more time consuming,"Not eating meat can cause you some nutritional deficiencies (e.g: lack of protein, iron problems, lack of vitamin B12)","Existen limitaciones sociales cuando alguien no quiere comer carne (estereotipos, connotaciones negativas)//                                                                                                                                                                                       There are social constraints when someone does not want to eat meat (stereotypes, negative connotations)",motivation_1_Animals,motivation_1_Health,motivation_1_Sustainability,motivation_2_Animals,motivation_2_Health,motivation_2_Sustainability,barrera_1_Enjoyment,barrera_1_Nutrients,barrera_1_Social,barrera_2_Enjoyment,barrera_2_Nutrients,barrera_2_Social
0,1,2,1,1,1,2,2,1.0,2.0,2,1,1,1.0,1,2,3,5,5,3,5,5,5,5,4,0,1,0,0,0,1,1,0,0,0,0,1
1,1,2,1,1,1,2,2,1.0,3.0,3,1,1,2.0,1,2,3,4,3,4,3,5,3,4,2,0,1,0,0,0,1,0,0,1,0,1,0
2,1,2,1,1,1,3,1,1.0,1.0,2,1,1,1.0,1,2,2,5,5,2,3,3,2,4,2,0,0,1,0,1,0,0,0,1,0,1,0
3,0,3,3,1,1,2,2,2.0,3.0,1,2,2,4.0,4,3,3,5,2,5,5,5,4,5,2,0,0,1,0,1,0,1,0,0,0,1,0
4,1,3,1,1,1,1,4,2.0,3.0,2,2,2,3.0,1,3,4,3,2,4,4,5,2,2,5,0,1,0,1,0,0,1,0,0,0,1,0
5,1,3,1,1,1,1,3,3.0,3.0,1,1,2,1.0,1,4,3,1,1,1,2,3,3,2,3,0,0,1,0,1,0,1,0,0,0,1,0
6,0,3,1,1,1,1,3,3.0,4.0,2,3,2,2.0,1,3,1,2,1,3,2,5,5,2,3,1,0,0,0,1,0,1,0,0,0,1,0
7,1,3,3,1,1,2,1,1.0,1.0,1,1,1,1.0,1,1,1,5,4,5,5,5,5,5,4,0,0,1,1,0,0,0,0,1,0,1,0
8,1,3,3,2,1,1,3,2.0,4.0,4,1,1,5.0,2,4,3,3,1,3,3,3,3,2,1,0,1,0,0,0,1,0,0,1,0,1,0
9,0,1,2,1,3,1,4,5.0,5.0,3,3,3,4.0,2,5,2,1,1,4,3,4,4,1,4,0,1,0,0,0,1,1,0,0,0,1,0
